batch,score,loss,loss_v
463,-30,-5.1465826,410.96426
464,-48,-3.669499,486.00778
465,-28,-1.4152279,128.93149
466,-42,-1.8428855,321.47058
467,-24,-1.0295279,100.525696
468,-50,-4.594501,533.5375
469,-50,-6.0198927,533.1027
470,-42,-3.4296427,507.41702
471,-28,-1.7339168,128.70006
472,-24,-2.3894944,93.63805
473,-38,-7.5235624,480.3734
474,-40,-8.678549,494.83792
475,-40,-7.5199127,325.50647
476,-44,-6.379944,367.29733
477,-34,-2.4436429,208.51031
478,-46,-2.2117085,524.9776
479,-40,-3.9124937,494.57172
480,-30,-2.2239609,146.13112
481,-26,-3.1818647,107.46484
482,-50,-9.8498125,532.35547
483,-50,-4.522827,531.93744
484,-38,-2.7743933,480.0532
485,-50,-6.353358,531.8741
486,-50,-3.1498737,532.99115
487,-40,-6.4336553,493.14413
488,-44,-4.162634,400.64285
489,-42,-3.769133,320.63663
490,-36,-6.160903,463.64633
491,-50,-6.6303773,531.3799
492,-34,-2.6213813,183.62955
493,-38,-4.610735,271.0508
494,-34,-2.7189255,183.55083
495,-50,-4.7685394,532.0708
496,-36,-3.7951047,204.22856
497,-50,-11.257042,531.0057
498,-46,-6.7678056,436.30548
499,-50,-0.93147314,532.0032
500,-50,-10.223195,530.945
501,-42,-3.4947066,505.5247
502,-50,-2.357488,530.6262
503,-44,-3.177959,365.31665
504,-28,-1.2672639,127.943085
505,-22,-6.521974,326.40125
506,-34,-1.6021022,445.51578
507,-50,-8.241951,530.42725
508,-34,-3.0356076,445.6004
509,-50,-8.318197,530.26263
510,-50,-1.3618587,530.3191
511,-46,-2.3984618,522.5633
512,-50,-4.1599264,529.6024
513,-34,-3.417185,445.1179
514,-46,-4.378004,415.2522
515,-50,-4.1543097,529.3606
516,-50,-11.18373,529.8419
517,-50,-8.861348,529.3308
518,-50,-6.380915,529.675
519,-50,-7.887985,529.3984
520,-42,-3.24037,317.538
521,-50,-7.5673523,529.3091
522,-34,-2.1650538,174.16492
523,-50,-10.785737,529.00055
524,-36,-3.2835844,239.4477
525,-50,-7.168796,529.1121
526,-32,-2.563579,156.66055
527,-34,-1.2529263,176.19547
528,-40,-2.1009483,491.01196
529,-50,-3.5582497,528.45
530,-40,-4.115097,490.33228
531,-50,-7.042862,528.8296
532,-40,-0.6998447,490.6821
533,-50,-4.6116276,528.29443
534,-50,-6.5395007,528.63525
535,-50,-5.6678095,528.23065
536,-46,-2.0829673,520.58905
537,-50,-4.6761513,528.2709
538,-50,-6.1729965,528.7536
539,-50,-9.176217,527.9699
540,-50,-6.8842187,527.5581
541,-44,-0.52950466,512.26917
542,-32,-2.110248,425.13544
543,-46,-0.7929249,519.9475
544,-42,-5.4977975,501.9415
545,-36,-3.6685116,459.82397
546,-50,-8.862928,527.3836
547,-38,-2.60996,475.39133
548,-26,-0.74310386,112.593124
549,-50,-6.762837,527.2356
550,-38,-0.9824012,237.32121
551,-44,-3.0069196,362.60175
552,-38,-2.128542,474.91138
553,-50,-5.3528614,526.9425
554,-36,-0.64744484,459.39734
555,-50,-3.735917,527.3785
556,-46,-4.111619,519.146
557,-28,-0.59922945,126.493256
558,-50,-5.260641,526.334
559,-42,-3.8419194,500.65665
560,-36,-2.1146293,458.84943
561,-50,-12.026939,526.3283
562,-30,-1.8157938,152.71776
563,-50,-4.135084,525.71545
564,-30,-3.2447424,404.80258
565,-50,-5.6977715,525.6925
566,-40,-3.8300297,320.72293
567,-50,-8.142964,525.7895
568,-50,-1.9189839,525.7756
569,-50,-6.311321,525.4227
570,-34,-3.480736,180.49057
571,-50,-10.623636,525.4132
572,-34,-3.2322886,217.33934
573,-28,-3.2689927,133.77821
574,-50,-1.753259,525.6636
575,-50,-9.405079,525.2428
576,-50,-2.2299721,525.6479
577,-50,-3.5380387,525.8899
578,-46,-6.006139,511.5675
579,-32,-6.9563484,422.2672
580,-24,-0.1739632,101.17641
581,-46,-0.7912279,517.007
582,-38,-2.9200644,472.88632
583,-46,-4.8286424,516.8757
584,-50,-4.945985,524.29407
585,-50,-5.1959114,524.5862
586,-32,-3.4524524,173.44913
587,-50,-5.322283,525.0925
588,-50,-7.3847094,524.1396
589,-46,-3.9193876,516.59265
590,-42,-5.179308,347.89758
591,-46,-4.717952,516.4433
592,-46,-5.548148,409.92657
593,-50,-4.811946,523.4389
594,-50,-7.317143,523.73376
595,-40,-5.4116955,275.63544
596,-48,-4.9657583,474.97757
597,-42,-4.462253,497.94904
598,-42,-5.6949906,497.58276
599,-50,-6.5744877,523.3127
600,-46,-4.6626067,515.67145
601,-46,-3.5112226,409.3957
602,-48,-3.3763907,520.9405
603,-32,-2.9494314,179.07576
604,-50,-5.8899064,523.1107
605,-50,-8.56021,522.8971
606,-44,-2.8882563,396.311
607,-50,-5.716544,522.835
608,-38,-5.7484107,470.80878
609,-50,-7.142093,522.6484
610,-50,-7.753544,522.62683
611,-34,-5.4779572,208.92006
612,-50,-8.156253,522.5171
613,-50,-5.706803,522.38086
614,-46,-5.0498147,514.47217
615,-50,-5.790486,521.9774
616,-50,-3.2636995,522.0306
617,-50,-5.988502,521.73004
618,-40,-4.261916,484.2914
619,-40,-3.4910254,274.542
620,-26,-0.42569843,111.053154
621,-38,-4.0845,275.56497
622,-50,-3.5248039,521.7683
623,-42,-5.9780154,495.8993
624,-36,-2.6211803,234.639
625,-50,-5.5419545,521.2196
626,-42,-5.1716766,495.30215
627,-14,-5.1353693,239.08191
628,-44,-5.966016,505.43454
629,-50,-10.669505,521.22034
630,-50,-7.0620103,520.94604
631,-30,-1.8718779,144.04054
632,-40,-4.784182,483.03903
633,-50,-4.5792365,520.8345
634,-44,-4.6253834,356.71844
635,-50,-10.639764,520.73395
636,-50,-10.130762,520.5952
637,-40,-3.711063,482.82285
638,-50,-7.470972,520.5799
639,-38,-2.5765955,468.75726
640,-28,-3.0890245,125.17738
641,-50,-10.493145,520.2312
642,-50,-8.217783,520.3255
643,-50,-14.470899,520.2848
644,-50,-8.715391,519.84784
645,-40,-5.0470066,268.436
646,-36,-5.3342953,227.81415
647,-50,-11.875977,519.73126
648,-42,-2.3765733,494.11826
649,-28,-2.6245997,124.746346
650,-50,-7.710951,519.6091
651,-40,-5.2283354,279.9959
652,-50,-9.199352,519.5958
653,-50,-5.98484,519.21216
654,-40,-3.48275,481.62054
655,-50,-8.78104,519.34607
656,-50,-7.289431,519.29083
657,-32,-4.124072,417.5282
658,-44,-3.708988,385.17
659,-24,-1.0912757,88.94569
660,-26,-3.2628078,359.0685
661,-30,-2.0147598,140.66087
662,-34,-4.5686255,434.97583
663,-36,-6.6246834,451.72055
664,-38,-6.872106,466.92072
665,-28,-3.6939063,124.23099
666,-28,-1.6004602,117.68677
667,-50,-6.8496904,518.4214
668,-50,-10.07553,518.12994
669,-50,-6.031118,518.21326
670,-50,-6.9762735,518.1729
671,-32,-8.376478,416.7264
672,-50,-9.147064,518.2397
673,-46,-4.083462,510.27524
674,-50,-10.852122,518.12146
675,-50,-9.540352,518.022
676,-32,-6.0158653,190.36699
677,-40,-6.6370673,299.19498
678,-36,-5.2265434,197.79437
679,-26,-8.833101,358.14105
680,-30,-2.6461744,140.15535
681,-50,-8.169375,517.37787
682,-50,-3.7771442,517.799
683,-50,-11.858267,517.49854
684,-18,-1.1068996,46.733334
685,-50,-5.818954,517.1686
686,-36,-5.910348,450.23657
687,-50,-9.256213,517.1575
688,-40,-8.144737,478.93817
689,-40,-6.8669953,269.50034
690,-2,2.7640488,99.71415
691,-48,-5.679721,467.26007
692,-50,-11.645979,516.8787
693,-26,-8.109554,357.50574
694,-32,-7.508703,233.21437
695,-50,-9.172969,516.65125
696,-50,-13.312662,516.682
697,-46,-11.23415,403.30212
698,-50,-10.057211,516.492
699,-30,-9.093424,335.21173
700,-34,-5.903323,183.70453
701,-32,-8.810584,248.98143
702,-44,-8.060008,386.6424
703,-50,-11.053947,516.0468
704,-50,-12.991196,516.13617
705,-50,-6.7363257,516.0657
706,-38,-6.9381084,246.96674
707,-40,-6.6675506,302.53876
708,-36,-4.771919,195.14755
709,-50,-6.5335655,515.76715
710,-50,-9.184568,515.67725
711,-50,-8.518959,515.6166
712,-50,-9.86744,515.6004
713,-20,-2.693845,52.816395
714,-50,-8.492353,515.3342
715,-50,-11.317726,515.37146
716,-48,-7.4291244,456.80283
717,-34,-3.525266,171.74762
718,-50,-12.897852,515.1141
719,-14,-3.7530477,58.24064
720,-50,-12.770367,515.03864
721,-50,-11.190325,514.99945
722,-44,-9.43098,499.12952
723,-44,-6.678656,499.13647
724,-36,-8.734325,236.2705
725,-22,-5.2754803,315.14493
726,-26,-7.9860406,147.32071
727,-30,-10.675885,394.8122
728,-50,-6.203608,514.4788
729,-34,-4.305368,204.03549
730,-26,-9.903127,355.72214
731,-50,-8.174744,514.338
732,-50,-7.339791,514.2703
733,-50,-6.760628,514.33264
734,-50,-10.0643425,514.0932
735,-36,-7.3544197,406.5099
736,-50,-10.993607,513.98145
737,-30,-4.0623317,153.48285
738,-50,-9.355455,513.7989
739,-28,-10.583447,374.88895
740,-50,-8.395717,513.61865
741,-50,-8.967863,513.70526
742,-40,-9.28472,475.65887
743,-42,-6.6029797,487.56427
744,-50,-6.8137846,513.3486
745,-30,-7.9714584,393.71054
746,-50,-8.125439,513.0365
747,-40,-6.6260486,475.43817
748,-50,-9.842547,513.014
749,-38,-5.7391205,228.19875
750,-32,-6.8735304,277.0283
751,-32,-7.236736,230.66655
752,-50,-9.202731,512.78
753,-36,-4.4728107,209.00449
754,-42,-6.903935,338.7247
755,-50,-8.896881,512.5874
756,-30,-10.013341,305.79385
757,-38,-4.301532,274.999
758,-48,-6.374913,509.90433
759,-34,-4.9198866,177.27223
760,-34,-7.139827,429.02548
761,-50,-8.699869,512.32135
762,-20,-7.6909165,223.69272
763,-50,-9.104388,512.0698
764,-36,-5.3067675,222.85225
765,-44,-6.1483994,382.61975
766,-28,-1.5303262,121.26185
767,-44,-5.7613525,496.1084
768,-40,-7.2386994,474.1834
769,-50,-4.355925,511.3969
770,-50,-5.4515233,511.6451
771,-46,-6.898576,503.65784
772,-28,-1.2075784,121.12259
773,-50,-5.7417393,511.35382
774,-50,-8.505155,511.31665
775,-36,-7.241568,444.65344
776,-50,-9.769358,511.22754
777,-50,-5.367737,511.19193
778,-32,-6.6391764,410.45645
779,-50,-7.1974015,511.03073
780,-38,-4.4033036,459.685
781,-50,-7.69795,510.76553
782,-50,-9.056982,510.82742
783,-42,-4.576131,485.0582
784,-24,-2.1326878,80.41737
785,-40,-0.898035,298.55157
786,-50,-4.9321885,510.50555
787,-50,-3.761518,510.32898
788,-50,-7.6841874,510.3711
789,-50,-11.4365015,510.33044
790,-30,-5.3167644,391.1656
791,-50,-8.021646,510.145
792,-10,-5.1253877,196.1509
793,-34,-2.2762,208.02011
794,-50,-4.5103264,509.7674
795,-16,-0.8376468,34.285507
796,-46,-0.9617276,501.91266
797,-36,-7.0484314,443.31357
798,-44,-6.4299,493.91577
799,-26,-6.017081,351.7109
800,-34,-2.6437852,426.67816
801,-36,-5.1837893,442.94922
802,-46,-4.3881826,397.07614
803,-32,-4.251291,408.8877
804,-34,-1.9705563,207.46535
805,-50,-4.591482,509.08594
806,-50,-7.9191117,509.1546
807,-42,-3.5736313,336.1136
808,-50,-6.765422,509.01157
809,-46,-2.1969419,501.04227
810,-16,-0.9254438,35.69341
811,-50,-5.938002,508.78964
812,-32,-2.5861475,156.26973
813,-42,-4.61768,483.14026
814,-30,-1.2909343,136.40717
815,-48,-4.859927,506.05035
816,-50,-5.8003936,508.52563
817,-50,-10.214399,508.48224
818,-50,-4.925562,508.31137
819,-50,-5.8045177,508.28583
820,-50,-5.283479,508.26523
821,-50,-6.3744473,508.06024
822,-34,-3.3263042,188.32559
823,-44,-1.9060551,383.1682
824,-50,-5.474448,507.97296
825,-30,-1.9631066,130.77457
826,-36,-5.62531,441.4693
827,-28,-0.9160779,119.807884
828,-32,-3.1956785,407.49167
829,-50,-5.962805,507.56702
830,-44,-4.4173627,491.92133
831,-44,-3.828495,345.76508
832,-50,-6.080585,507.49304
833,-20,-1.851702,47.62974
834,-36,-1.6433994,441.10577
835,-44,-3.8763921,491.5827
836,-50,-9.435324,507.23672
837,-50,-9.354953,507.09894
838,-50,-0.99448323,507.32712
839,-50,-4.103422,506.94937
840,-26,-1.4738667,97.779884
841,-46,-4.221371,394.73914
842,-50,-5.934766,506.81808
843,-50,-8.071507,506.66522
844,-50,-9.353906,506.64233
845,-50,-6.894945,506.56448
846,-32,-3.6206048,150.44313
847,-50,-8.379457,506.4141
